price,bedrooms,bathrooms,addr,apt,lat,lng,zipcode
"2,895",1,1,175 Ludlow St,10,40.7219042,-73.9876547,10002
"2,550",1,1,175 Ludlow St,5,40.7219042,-73.9876547,10002
"18,000",4,3,191 Chrystie St,5,40.7220272,-73.9923753,10002
"3,784",1,1,250 E Houston St,33,40.7220749,-73.9848369,10002
"3,806",1,1,250 E Houston St,3J,40.7220749,-73.9848369,10002
"4,025",1,1,250 E Houston St,3H,40.7220749,-73.9848369,10002
"7,300",2,2,188 Ludlow St,22H,40.7220991,-73.9870452,10002
"6,650",2,2,188 Ludlow St,6A,40.7220991,-73.9870452,10002
"3,985",1,3,188 Ludlow St,6K,40.7220991,-73.9870452,10002
"3,375",1,1,188 Ludlow St,4B,40.7220991,-73.9870452,10002
"2,900",2,1,189 Orchard St,4B,40.7221842,-73.9883583,10002
"2,795",1,3,15 Stanton St,4B,40.7223698,-73.9922789,10002
"2,649",1,1,11 Stanton St,1C,40.7224384,-73.9924375,10002
"3,250",2,1,235 Eldridge St,22,40.7224441,-73.9899847,10002
"4,650",3,2,179 E Houston St,4AJ,40.722505,-73.988324,10002
"3,500",2,1,237 Eldridge St,19,40.7225575,-73.989974,10002
"5,995",2,1,241 Eldridge St,2F,40.7226607,-73.9899137,10002
"10,000",1,1,259 Bowery,5,40.7232141,-73.9925421,10002
"7,470",1,1,229 Chrystie St,,40.7235028,-73.9918932,10002
"3,495",2,1,155 Ridge St,5K,40.7580327,-74.1769945,10002
"2,450",1,1,28 Orchard St,4B,41.765534,-72.8925511,10002
"3,495",1,1,78 Ridge St,4C,42.1720005,-71.3661849,10002
"3,995",2,1,114 Ridge St,5A,42.4267612,-71.1589672,10002
"2,900",1,1,114 Ridge St,3F,42.4267612,-71.1589672,10002
"2,750",1,8,114 Ridge St,2D,42.4267612,-71.1589672,10002
"7,495",4,2,141 Ridge St,9,42.4467589,-71.1748943,10002
"2,250",1,1,46 Allen St,5D,42.899225,-78.8718287,10002
"12,500",3,3,9 E 19th St,3,40.738933,-73.990464,10003
"14,995",3,3,9 E 19th St,PH,40.738933,-73.990464,10003
"6,250",1,7,870 Broadway,2,40.737517,-73.9899127,10003
"10,500",3,2,213 Park Ave S,5,46.9209196,-95.0584102,10003
"5,600",3,1,8 E 18th St,2,40.7380172,-73.9908082,10003
"9,000",3,2,105 E 19th St,4CD,40.7376299,-73.9873969,10003
"6,250",1,1,119 E 17th St,5A,40.7362357,-73.9877598,10003
"25,000",4,3,57 Irving Pl,6,40.736315,-73.98742,10003
"5,500",3,2,312 2nd Ave,3,40.7348855,-73.9827862,10003
"4,695",3,1,203 1st Ave,2,40.7303678,-73.9836078,10003
"18,700",3,4,35 Union Sq W,2,42.1309342,-72.7416396,10003
"47,000",8,9,135 E 15th St,,40.7345122,-73.9874442,10003
"5,500",3,2,231 1st Ave,3F,40.7311787,-73.9830962,10003
"3,299",1,1,332 E 14th St,B1,40.7316074,-73.9837704,10003
"3,300",1,1,332 E 14th St,1B,40.7316074,-73.9837704,10003
"2,950",1,1,332 E 14th St,A1,40.7316074,-73.9837704,10003
"3,500",1,1,18 E 13th St,4,40.7347629,-73.9932594,10003
